wave, intensity
645.2452, 55.38961
647.1736, 55.27495
649.1021, 54.81750
651.0306, 53.65295
652.9590, 52.81761
654.8875, 52.82960
656.8160, 54.10072
658.7444, 54.95778
660.6729, 55.10669
662.6014, 54.78370
664.5298, 54.18913
666.4583, 53.41267
668.3868, 53.23201
670.3152, 54.42956
672.2437, 55.97004
674.1722, 56.90531
676.1006, 56.02868
678.0291, 55.48145
679.9576, 55.64010
681.8860, 56.47361
683.8145, 57.17498
685.7430, 57.66010
687.6714, 58.03945
689.5999, 58.53069
691.5284, 59.03676
693.4568, 59.19537
695.3853, 58.17753
697.3138, 57.39350
699.2422, 57.12170
701.1707, 57.69065
703.0992, 58.68079
705.0276, 60.71514
706.9561, 61.87611
708.8846, 61.47372
710.8130, 59.83202
712.7415, 58.89439
714.6700, 59.10773
716.5984, 59.78993
718.5269, 60.99067
720.4554, 62.35713
722.3839, 63.18361
724.3123, 62.78500
726.2408, 62.46464
728.1693, 62.71740
730.0977, 63.42553
732.0262, 63.90697
733.9547, 64.08930
735.8831, 64.23854
737.8116, 64.42104
739.7401, 64.61770
741.6685, 64.84489
743.5970, 65.15597
745.5255, 65.48972
747.4539, 65.72047
749.3824, 65.85835
751.3109, 66.25318
753.2393, 67.21605
755.1678, 68.03855
757.0963, 68.26680
759.0247, 67.84138
760.9532, 67.87476
762.8817, 68.96571
764.8101, 69.97000
766.7386, 70.19250
768.6671, 69.68241
770.5955, 69.52729
772.5240, 69.92046
774.4525, 68.87865
776.3809, 71.41573
778.3094, 72.99421
780.2379, 73.66487
782.1663, 70.75007
784.0948, 72.43341
786.0233, 72.25465
787.9517, 71.98624
789.8802, 74.27716
791.8087, 71.81264
793.7371, 74.03507
795.6656, 74.36719
797.5941, 75.54428
799.5225, 74.84784
801.4510, 74.71195
803.3795, 76.42251
805.3079, 77.08916
807.2364, 76.12327
809.1649, 77.27190
811.0933, 74.60397
813.0218, 75.25912
814.9503, 77.34017
816.8787, 76.39857
818.8072, 77.51197
820.7357, 77.82360
822.6641, 74.54056
824.5926, 77.47109
826.5211, 77.69463
828.4495, 75.13904
830.3780, 77.81466
832.3065, 75.61261
834.2349, 75.13280
836.1634, 75.94568
838.0919, 74.92023
840.0203, 76.81229
841.9488, 78.73789
843.8773, 79.52449
845.8057, 79.05771
847.7342, 78.65112
849.6627, 78.45068
851.5911, 78.21365
853.5196, 77.64580
855.4481, 77.51952
857.3765, 76.59874
859.3050, 76.98387
861.2335, 77.00857
863.1619, 76.67374
865.0904, 76.04505
867.0189, 75.20295
868.9473, 74.42997
870.8758, 74.01141
872.8043, 73.91912
874.7327, 73.59306
876.6612, 72.94753
878.5897, 71.75876
880.5181, 70.52382
882.4466, 69.50688
884.3751, 68.55462
886.3035, 67.68133
888.2320, 67.31534
890.1605, 67.13316
892.0889, 66.89666
894.0174, 66.40193
895.9459, 65.77596
897.8743, 65.00069
899.8028, 64.28867
901.7313, 63.80325
903.6597, 62.78863
905.5882, 61.69701
907.5167, 61.76603
909.4451, 62.09546
911.3736, 62.30087
913.3021, 61.70164
915.2305, 60.91160
917.1590, 59.94729
919.0875, 59.14489
921.0159, 58.41797
922.9444, 57.99166
924.8729, 58.22153
926.8013, 59.00850
928.7298, 59.19428
930.6583, 58.41084
932.5867, 57.67846
934.5152, 57.74024
936.4437, 58.26487
938.3721, 58.44164
940.3006, 57.75611
942.2291, 57.20536
944.1575, 57.39077
946.0860, 58.37392
948.0145, 58.79003
949.9429, 58.00092
951.8714, 56.82736
953.7999, 56.09739
955.7283, 56.05014
957.6568, 56.00288
959.5853, 56.05344
961.5137, 56.09601
963.4422, 55.89600
965.3707, 55.63340
967.2991, 55.48719
969.2276, 55.49210
971.1561, 55.82988
973.0845, 56.73912
975.0130, 57.40229
976.9415, 57.18066
978.8699, 56.69936
980.7984, 56.63359
982.7269, 57.37756
984.6553, 57.86036
986.5838, 57.26720
988.5123, 55.84643
990.4407, 54.93647
992.3692, 54.67178
994.2977, 54.48438
996.2261, 54.61350
998.1546, 55.91659
1000.083, 56.92165
1002.012, 57.42079
1003.940, 57.69679
1005.868, 58.00027
1007.797, 58.28973
1009.725, 58.37001
1011.654, 57.39391
1013.582, 56.28826
1015.511, 56.01418
1017.439, 56.93832
1019.368, 57.59406
1021.296, 57.47915
1023.225, 57.17430
1025.153, 56.82228
1027.082, 56.69261
1029.010, 57.32174
1030.939, 58.97205
1032.867, 60.26085
1034.796, 60.58472
1036.724, 60.16309
1038.652, 59.59773
1040.581, 59.32642
1042.509, 59.51571
1044.438, 60.05685
1046.366, 60.32386
1048.295, 59.90423
1050.223, 58.55660
1052.152, 57.42555
1054.080, 57.29840
1056.009, 57.62717
1057.937, 57.90564
1059.866, 57.70029
1061.794, 57.20549
1063.723, 56.11149
1065.651, 54.93702
1067.579, 54.27444
1069.508, 54.26611
1071.436, 54.33561
1073.365, 53.59199
1075.293, 52.85700
1077.222, 52.81597
1079.150, 53.14290
1081.079, 52.95010
1083.007, 51.71479
1084.936, 51.15143
1086.864, 52.30639
1088.793, 53.91440
1090.721, 54.24250
1092.650, 52.74018
1094.578, 51.37339
1096.506, 51.56544
1098.435, 52.64303
1100.363, 53.73903
1102.292, 54.12611
1104.220, 53.29350
1106.149, 51.65908
1108.077, 50.49471
1110.006, 49.66264
1111.934, 49.05679
1113.863, 48.83230
1115.791, 49.31099
1117.720, 49.75926
1119.648, 49.69043
1121.577, 49.24333
1123.505, 48.68441
1125.433, 48.14683
1127.362, 47.72830
1129.290, 48.03910
1131.219, 49.06289
1133.147, 49.32790
1135.076, 48.36426
1137.004, 48.98694
1138.933, 47.75635
1140.861, 48.63067
1142.790, 48.25873
1144.718, 47.45930
1146.647, 47.31252
1148.575, 46.87729
1150.504, 47.25795
1152.432, 46.37383
1154.360, 46.43970
1156.289, 46.38238
1158.217, 45.55396
1160.146, 44.56523
1162.074, 44.76984
1164.003, 45.13932
1165.931, 45.49639
1167.860, 45.94318
1169.788, 46.09647
